,company_name,company_rating,other_data
81,Qualcomm,4.0,"Semiconductors , 10k-50k Employees , Forbes Global 2000 , 28 years old , Hyderabad / Secunderabad +15 more"
83,Foundever,3.8,"BPO , 5k-10k Employees , Conglomerate , 39 years old , Hyderabad / Secunderabad +16 more"
86,Thomson Reuters,4.2,"Software Product , 5k-10k Employees , Forbes Global 2000 , 16 years old , Hyderabad / Secunderabad +24 more"
87,CBRE,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old , Hyderabad / Secunderabad +75 more"
88,Cigniti Technologies,3.9,"IT Services & Consulting , 1k-5k Employees , Public , 26 years old , Hyderabad / Secunderabad +6 more"
90,Apollo Hospitals,4.2,"Healthcare , 10k-50k Employees , Public , 41 years old , Hyderabad / Secunderabad +189 more"
91,SAI Life Sciences,3.9,"Pharma , 1k-5k Employees , Public , 25 years old , Hyderabad / Secunderabad +16 more"
96,Salesforce,4.1,"Software Product , 5k-10k Employees , Public , 25 years old , Hyderabad / Secunderabad +26 more"
99,JLL,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 25 years old , Hyderabad / Secunderabad +70 more"
100,DMart,4.0,"Retail , 10k-50k Employees , Fortune India 500 , 22 years old , Hyderabad / Secunderabad +213 more"
101,Power Mech Projects,3.9,"Engineering & Construction , 1k-5k Employees , Public , 17 years old , Hyderabad / Secunderabad +118 more"
102,Larsen & Toubro Limited,4.1,"Engineering & Construction , 10k-50k Employees , Public , 86 years old , Hyderabad / Secunderabad +623 more"
105,Shapoorji Pallonji Group,4.2,"Engineering & Construction , 5k-10k Employees , Conglomerate , 159 years old , Hyderabad / Secunderabad +162 more"
106,PwC,3.6,"Management Consulting , 10k-50k Employees , Conglomerate , 144 years old , Hyderabad / Secunderabad +93 more"
107,ICICI Lombard General Insurance Company,3.8,"Insurance , 10k-50k Employees , Public , 23 years old , Hyderabad / Secunderabad +264 more"
108,OMICS International,2.6,"Printing & Publishing , 1k-5k Employees , Conglomerate , 17 years old , Hyderabad / Secunderabad +5 more"
113,L&T Infotech,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 28 years old , Hyderabad / Secunderabad +84 more"
114,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Hyderabad / Secunderabad +660 more"
118,Flipkart,4.0,"Internet , 10k-50k Employees , Public , 17 years old , Hyderabad / Secunderabad +516 more"
120,Neuland Laboratories,4.1,"Pharma , 1k-5k Employees , Public , 40 years old , Hyderabad / Secunderabad +7 more"
121,Quess,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Hyderabad / Secunderabad +542 more"
123,Zensar Technologies,3.8,"IT Services & Consulting , 5k-10k Employees , Public , 23 years old , Hyderabad / Secunderabad +22 more"
124,Laurus Labs,4.2,"Pharma , 5k-10k Employees , Public , 19 years old , Hyderabad / Secunderabad +14 more"
127,Mphasis,3.5,"IT Services & Consulting , 10k-50k Employees , Public , 26 years old , Hyderabad / Secunderabad +54 more"
128,Heritage Foods,4.1,"Food Processing , 1k-5k Employees , Public , 32 years old , Hyderabad / Secunderabad +95 more"
133,Birlasoft,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 29 years old , Hyderabad / Secunderabad +35 more"
135,IDFC FIRST Bank,4.0,"Banking , 10k-50k Employees , Public , 6 years old , Hyderabad / Secunderabad +588 more"
136,Randstad,3.9,"Recruitment , 5k-10k Employees , Conglomerate , 32 years old , Hyderabad / Secunderabad +264 more"
137,JustDial,3.6,"Internet , 10k-50k Employees , Public , 28 years old , Hyderabad / Secunderabad +181 more"
138,Kyndryl,4.1,"IT Services & Consulting , 10k-50k Employees , Public , 2 years old , Hyderabad / Secunderabad +26 more"
139,Asian Paints,4.1,"Chemicals , 5k-10k Employees , Public , 82 years old , Hyderabad / Secunderabad +443 more"
140,NCR Corporation,4.1,"IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 140 years old , Hyderabad / Secunderabad +79 more"
141,Invesco,4.0,"Financial Services , 1k-5k Employees , Forbes Global 2000 , 89 years old , Hyderabad / Secunderabad +6 more"
146,Tech Mahindra Business Services,3.5,"BPO , 5k-10k Employees , Public , 21 years old , Hyderabad / Secunderabad +49 more"
148,DIVI'S Laboratories,3.9,"Healthcare , 10k-50k Employees , Public , 34 years old , Hyderabad / Secunderabad +23 more"
150,Natco Pharma,4.1,"Pharma , 1k-5k Employees , Public , 43 years old , Hyderabad / Secunderabad +47 more"
154,MRF Tyres,3.8,"Auto Components , 10k-50k Employees , Public , 78 years old , Hyderabad / Secunderabad +161 more"
155,Matrimony.com,4.4,"Internet , 1k-5k Employees , Public , 27 years old , Hyderabad / Secunderabad +50 more"
156,BigBasket,4.0,"Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Hyderabad / Secunderabad +116 more"
163,GVPR Engineers,4.0,"Engineering & Construction , 501-1k Employees , Public , 27 years old , Hyderabad / Secunderabad +66 more"
166,Sanofi,4.4,"Pharma , 1k-5k Employees , Public , 20 years old , Hyderabad / Secunderabad +71 more"
168,Sodexo,4.1,"Facility Management Services , 10k-50k Employees , Forbes Global 2000 , 16 years old , Hyderabad / Secunderabad +131 more"
169,Muthoot Finance,3.6,"NBFC , 10k-50k Employees , Public , 85 years old , Hyderabad / Secunderabad +645 more"
170,UBS,3.9,"Investment Banking / Venture Capital / Private Equity , 5k-10k Employees , Forbes Global 2000 , 9 years old , Hyderabad / Secunderabad +29 more"
171,Persistent Systems,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Hyderabad / Secunderabad +33 more"
172,IndusInd Bank,3.7,"Banking , 10k-50k Employees , Public , 30 years old , Hyderabad / Secunderabad +689 more"
176,Startek,3.3,"BPO , 10k-50k Employees , Public , 7 years old , Hyderabad / Secunderabad +72 more"
178,Bajaj Finserv,4.1,"Financial Services , 50k-1 Lakh Employees , Public , 17 years old , Hyderabad / Secunderabad +904 more"
181,Corteva Agriscience,4.3,"Agro Chemicals , 1k-5k Employees , Public , 5 years old , Hyderabad / Secunderabad +80 more"
187,Eastman Chemical Company,4.3,"Chemicals , 501-1k Employees , Forbes Global 2000 , 74 years old , Hyderabad / Secunderabad +3 more"
188,Swiggy,3.9,"Internet , 5k-10k Employees , Indian Unicorn , 10 years old , Hyderabad / Secunderabad +193 more"
190,Sonata Software,3.7,"IT Services & Consulting , 1k-5k Employees , Public , 38 years old , Hyderabad / Secunderabad +12 more"
194,Reliance Industries,4.1,"Oil & Gas , 1 Lakh+ Employees , Public , 47 years old , Hyderabad / Secunderabad +687 more"
197,Shriram Life Insurance,3.8,"Insurance , 1k-5k Employees , Conglomerate , 19 years old , Hyderabad / Secunderabad +216 more"
198,Micron Technology,3.7,"Semiconductors , 1k-5k Employees , Forbes Global 2000 , 46 years old , Hyderabad / Secunderabad +8 more"
200,Novartis Healthcare,4.1,"Pharma , 51-200 Employees , Public , 28 years old , Hyderabad / Secunderabad +25 more"
201,Pennar Industries,3.7,"Engineering & Construction , 1k-5k Employees , Public , 36 years old , Hyderabad / Secunderabad +22 more"
203,Astra Microwave Products,3.9,"Hardware & Networking , 51-200 Employees , Public , 33 years old , Hyderabad / Secunderabad +14 more"
204,First American Corporation,3.9,"Financial Services , 1k-5k Employees , Forbes Global 2000 , 30 years old , Hyderabad / Secunderabad +14 more"
206,HDFC Life,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Hyderabad / Secunderabad +563 more"
207,GMR Group,4.1,"Engineering & Construction , 10k-50k Employees , Public , 46 years old , Hyderabad / Secunderabad +54 more"
208,Ramky Infrastructure,4.2,"Engineering & Construction , 501-1k Employees , Public , 30 years old , Hyderabad / Secunderabad +37 more"
209,HBL Power Systems,4.0,"Electrical Equipment , 1k-5k Employees , Public , 47 years old , Hyderabad / Secunderabad +43 more"
210,Defence Research & Development Organisation,4.5,"Defence & Aerospace , 10k-50k Employees , Central , 66 years old , Hyderabad / Secunderabad +44 more"
211,Vimta Labs,3.6,"Other , 1k-5k Employees , Public , 40 years old , Hyderabad/Secunderabad +24 more"
213,Black Knight,3.6,"IT Services & Consulting , 501-1k Employees , Startup , 10 years old , Jacksonville +3 more"
214,NxtWave,3.9,"EdTech , 1k-5k Employees , Startup , 4 years old , Hyderabad / Secunderabad +21 more"
215,Welspun Flooring,3.8,"Building Material , 51-200 Employees , Public , 8 years old , Hyderabad +20 more"
219,Spandana Sphoorty Financial,3.8,"NBFC , 10k-50k Employees , Public , 26 years old , Hyderabad/Secunderabad +225 more"
220,ServiceNow,4.0,"Software Product , 1k-5k Employees , Public , 20 years old , Hyderabad / Secunderabad +6 more"
227,Wipro Infotech,4.0,"IT Services & Consulting , 1 Lakh+ Employees (Global) , MNC , 79 years old , Hyderabad / Secunderabad +118 more"
230,Indian Immunologicals,4.1,"Biotechnology , 1k-5k Employees , Public , 42 years old , Hyderabad / Secunderabad +25 more"
232,Delhivery,4.0,"Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Hyderabad / Secunderabad +632 more"
234,Examity,3.4,"EdTech , 201-500 Employees (Global) , Startup , 11 years old , Hyderabad / Secunderabad +4 more"
239,Coromandel International,4.2,"Agro Chemicals , 5k-10k Employees , Public , 63 years old , Hyderabad / Secunderabad +141 more"
240,Coforge,3.5,"IT Services & Consulting , 10k-50k Employees , Public , 20 years old , Hyderabad / Secunderabad +87 more"
243,Paytm,3.5,"FinTech , 10k-50k Employees , Public , 14 years old , Hyderabad / Secunderabad +327 more"
244,Indian Army,4.7,"Defence & Aerospace , 1 Lakh+ Employees , Public , 129 years old , Hyderabad / Secunderabad +326 more"
248,Tata Teleservices,4.1,"Telecom , 201-500 Employees , Public , 28 years old , Hyderabad / Secunderabad +142 more"
249,Uber,4.2,"Internet , 1k-5k Employees , Public , 15 years old , Hyderabad / Secunderabad +44 more"
250,Schneider Electric,4.2,"Industrial Automation , 10k-50k Employees , Forbes Global 2000 , 25 years old , Hyderabad / Secunderabad +115 more"
252,Intellect Design Arena,4.1,"FinTech , 5k-10k Employees , Public , 13 years old , Hyderabad / Secunderabad +26 more"
254,Model N,4.7,"Software Product , 501-1k Employees , Public , 25 years old , Hyderabad / Secunderabad +1 more"
257,Manappuram Finance,4.0,"NBFC , 10k-50k Employees , Public , 75 years old , Hyderabad / Secunderabad +513 more"
258,ICICI Prudential Life Insurance,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Hyderabad / Secunderabad +450 more"
259,IIFL Finance,4.0,"NBFC , 10k-50k Employees , Public , 29 years old , Hyderabad / Secunderabad +673 more"
265,3i Infotech,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 31 years old , Hyderabad / Secunderabad +105 more"
266,MosChip Technologies,4.3,"Semiconductors , 1k-5k Employees , Public , 25 years old , Hyderabad / Secunderabad +3 more"
269,Bharat Financial Inclusion,4.0,"NBFC , 10k-50k Employees , Public , 26 years old , Hyderabad / Secunderabad +345 more"
272,Hyundai Mobis,3.9,"Auto Components , 1k-5k Employees , Forbes Global 2000 , 7 years old , Hyderabad / Secunderabad +43 more"
274,ITC,4.0,"FMCG , 10k-50k Employees , Public , 114 years old , Hyderabad / Secunderabad +301 more"
278,Muthoot Fincorp,4.1,"NBFC , 10k-50k Employees , Conglomerate , 137 years old , Hyderabad / Secunderabad +548 more"
279,Team Lease,4.0,"Recruitment , 1k-5k Employees , Public , 8 years old , Hyderabad / Secunderabad +311 more"
280,Team Lease,4.0,"Recruitment , 1k-5k Employees , Public , 8 years old , Hyderabad / Secunderabad +311 more"
282,InterGlobe Aviation,3.6,"Aviation , 10k-50k Employees , Fortune India 500 , 19 years old , Hyderabad / Secunderabad +90 more"
283,Oyo Rooms,3.4,"Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Hyderabad / Secunderabad +113 more"
284,State Bank of India,3.9,"Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old , Hyderabad / Secunderabad +491 more"
286,IIC Technologies,3.9,"IT Services & Consulting , 1k-5k Employees , Public , 30 years old , Hyderabad / Secunderabad +21 more"
287,SS&C TECHNOLOGIES,3.5,"IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 38 years old , Hyderabad / Secunderabad +25 more"
288,SkillRecruit,4.7,"Recruitment , 201-500 Employees , MNC , 19 years old , Hyderabad / Secunderabad +14 more"
290,Mahindra & Mahindra,4.2,"Automobile , 1 Lakh+ Employees , Public , 79 years old , Hyderabad / Secunderabad +480 more"
296,Yes Bank,3.9,"Banking , 10k-50k Employees , Public , 20 years old , Hyderabad / Secunderabad +447 more"
304,First Source,3.8,"BPO , 10k-50k Employees , Public , 23 years old , Hyderabad / Secunderabad +55 more"
307,BHEL,4.2,"Electrical Equipment , 10k-50k Employees , Fortune India 500 , 60 years old , Hyderabad / Secunderabad +95 more"
309,ZF Steering Gear,3.8,"Auto Components , 501-1k Employees , Public , 109 years old , Hyderabad / Secunderabad +22 more"
315,Ninjacart,4.1,"Internet , 1k-5k Employees , Startup , 9 years old , Hyderabad / Secunderabad +95 more"
318,Samsung,4.1,"Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old , Hyderabad / Secunderabad +499 more"
319,Aditya Birla Fashion and Retail,4.2,"Fashion & Textile , 10k-50k Employees , Fortune India 500 , 36 years old , Hyderabad / Secunderabad +233 more"
320,UltraTech Cement,4.2,"Building Material , 10k-50k Employees , Public , 41 years old , Hyderabad / Secunderabad +433 more"
321,Tata Capital,4.2,"NBFC , 5k-10k Employees , Fortune India 500 , 17 years old , Hyderabad / Secunderabad +236 more"
323,Broadcom,3.4,"Semiconductors , 1k-5k Employees , Forbes Global 2000 , 48 years old , Hyderabad / Secunderabad +9 more"
325,DCB Bank,3.9,"Banking , 5k-10k Employees , Fortune India 500 , 94 years old , Hyderabad / Secunderabad +305 more"
331,Bharat Dynamics,4.4,"Defence & Aerospace , 1k-5k Employees , Fortune India 500 , 54 years old , Hyderabad / Secunderabad +5 more"
338,L&T Construction,4.1,"Engineering & Construction , 5k-10k Employees , Public , 80 years old , Hyderabad / Secunderabad +360 more"
347,Cadsys,3.9,"IT Services & Consulting , 201-500 Employees , Public , 35 years old , Hyderabad / Secunderabad +4 more"
351,Infinite Computer Solutions,3.5,"IT Services & Consulting , 1k-5k Employees , Public , 23 years old , Hyderabad / Secunderabad +27 more"
354,Shriram Finance,4.1,"NBFC , 50k-1 Lakh Employees , Public , 45 years old , Hyderabad / Secunderabad +966 more"
356,Johnson Controls,3.7,"Industrial Automation , 5k-10k Employees , Public , 139 years old , Hyderabad / Secunderabad +49 more"
357,Intercontinental Exchange,3.6,"FinTech , 1k-5k Employees , Forbes Global 2000 , 24 years old , Hyderabad / Secunderabad +6 more"
360,Sagarsoft,4.5,"IT Services & Consulting , 51-200 Employees , Public , 28 years old , Hyderabad / Secunderabad +2 more"
361,N.C.L. Industries,3.9,"Building Material , 501-1k Employees , Public , 44 years old , Hyderabad / Secunderabad +59 more"
363,QualiZeal,4.5,"IT Services & Consulting , 201-500 Employees , Startup , 3 years old , Hyderabad / Secunderabad"
364,Tata Motors,4.2,"Automobile , 10k-50k Employees , Public , 79 years old , Hyderabad / Secunderabad +433 more"
368,ITC Hotels,4.2,"Hospitality , 5k-10k Employees , Public , 49 years old , Hyderabad / Secunderabad +76 more"
369,Darwinbox,3.5,"Software Product , 501-1k Employees , Indian Unicorn , 9 years old , Hyderabad / Secunderabad +9 more"
373,Compass Group Support Services,4.1,"Hospitality , 10k-50k Employees , Public , 83 years old , Hyderabad / Secunderabad +63 more"
378,NexTurn,4.4,"IT Services & Consulting , 51-200 Employees , Startup , 3 years old , Hyderabad / Secunderabad +4 more"
380,Metro Cash & Carry,4.3,"Retail , 1k-5k Employees , Forbes Global 2000 , 21 years old , Hyderabad / Secunderabad +77 more"
381,Reventics,4.2,"Healthcare , 201-500 Employees , Startup , 8 years old , Hyderabad / Secunderabad +1 more"
384,Zenoti,3.2,"IT Services & Consulting , 501-1k Employees , Indian Unicorn , 14 years old , Hyderabad / Secunderabad"
389,Colruyt Group,4.1,"IT Services & Consulting , 501-1k Employees , Forbes Global 2000 , 17 years old , Hyderabad / Secunderabad"
396,Aspiro Pharma,3.7,"Pharma , 51-200 Employees , Startup , 12 years old , Hyderabad / Secunderabad +2 more"
398,Infinity Learn,3.6,"EdTech , 501-1k Employees , Startup , 3 years old , Hyderabad / Secunderabad +9 more"
399,HIL,4.2,"Building Material , 1k-5k Employees , Public , 78 years old , Hyderabad / Secunderabad +81 more"
401,L&T Technology Services,3.4,"IT Services & Consulting , 10k-50k Employees , Public , 12 years old , Hyderabad / Secunderabad +52 more"
406,Olectra Greentech,3.3,"Automobile , 201-500 Employees , Public , 32 years old , Hyderabad / Secunderabad +16 more"
408,OPPO,4.0,"Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Hyderabad / Secunderabad +354 more"
409,Hindustan Sanitaryware & Industries,4.1,"Furniture & Furnishing , 1k-5k Employees , Public , 64 years old , Hyderabad / Secunderabad +56 more"
