,company_name,company_rating,other_data
91,DMart,4.0,"Retail , 10k-50k Employees , Fortune India 500 , 22 years old , Ahmedabad +213 more"
93,Subros,4.0,"Auto Components , 1k-5k Employees , Public , 39 years old , Ahmedabad +60 more"
95,Claris Lifesciences Ahmedabad,3.1,"Healthcare , 1k-5k Employees , Public , 25 years old , Ahmedabad +15 more"
96,Lincoln Pharmaceuticals,3.8,"Pharma , 1k-5k Employees , Public , 45 years old , Ahmedabad +21 more"
99,JustDial,3.6,"Internet , 10k-50k Employees , Public , 28 years old , Ahmedabad +181 more"
102,L&T Construction,4.1,"Engineering & Construction , 5k-10k Employees , Public , 80 years old , Ahmedabad +360 more"
105,Viatris,4.2,"Pharma , 10k-50k Employees , Forbes Global 2000 , 4 years old , Ahmedabad +69 more"
106,Concord Biotech,3.7,"Pharma , 501-1k Employees , Public , 24 years old , Ahmedabad +12 more"
107,Sanghi Industries,3.7,"Building Material , 501-1k Employees , Public , 39 years old , Ahmedabad +24 more"
108,Piramal Pharma,4.0,"Pharma , 1k-5k Employees , Public , 36 years old , Ahmedabad +51 more"
111,Health Care Global Enterprises,4.2,"Healthcare , 5k-10k Employees , Public , 35 years old , Ahmedabad +40 more"
115,Sadbhav Engineering,4.4,"Engineering & Construction , 1k-5k Employees , Public , 36 years old , Ahmedabad +63 more"
116,Startek,3.3,"BPO , 10k-50k Employees , Public , 7 years old , Ahmedabad +72 more"
118,Jana Small Finance Bank,3.9,"Banking , 10k-50k Employees , Public , 18 years old , Ahmedabad +354 more"
120,Aia Engineering,4.2,"Industrial Machinery , 1k-5k Employees , Public , 45 years old , Ahmedabad +3 more"
123,Emcure Pharmaceuticals,3.8,"Pharma , 5k-10k Employees , Fortune India 500 , 43 years old , Ahmedabad +96 more"
130,Monte Carlo,4.2,"Fashion & Textile , 201-500 Employees , Public , 40 years old , Ahmedabad +77 more"
131,Asian Granito India,3.8,"Building Material , 1k-5k Employees , Public , 24 years old , Ahmedabad +53 more"
132,Kogta Financial India Limited,4.8,"NBFC , 1k-5k Employees , Public , 28 years old , Ahmedabad +206 more"
133,ICICI Prudential Life Insurance,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Ahmedabad +450 more"
135,Chiripal Industries,3.6,"Fashion & Textile , 1k-5k Employees , Public , 52 years old , Ahmedabad +4 more"
136,IIFL Finance,4.0,"NBFC , 10k-50k Employees , Public , 29 years old , Ahmedabad +673 more"
137,Apollo Hospitals,4.2,"Healthcare , 10k-50k Employees , Public , 41 years old , Ahmedabad +189 more"
138,Piramal Group,4.0,"Financial Services , 10k-50k Employees , Fortune India 500 , 44 years old , Ahmedabad +122 more"
141,Sodexo,4.1,"Facility Management Services , 10k-50k Employees , Forbes Global 2000 , 16 years old , Ahmedabad +131 more"
142,Abellon Clean Energy,3.7,"Other , 501-1k Employees , Public , 16 years old , Ahmedabad +17 more"
149,Adani Solar,4.0,"Power , 1k-5k Employees , Public , 9 years old , Ahmedabad +28 more"
151,Ingersoll Rand,4.3,"Industrial Machinery , 501-1k Employees , Public , 52 years old , Ahmedabad +28 more"
152,Sintex Industries,4.1,"Industrial Machinery , 5k-10k Employees , Public , 93 years old , Ahmedabad +51 more"
156,Adani Gas,3.5,"Oil & Gas , 501-1k Employees , Public , 20 years old , Ahmedabad +39 more"
157,HDFC Life,4.1,"Insurance , 10k-50k Employees , Public , 24 years old , Ahmedabad +563 more"
159,Silver Touch Technologies,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 32 years old , Ahmedabad +26 more"
162,Indus Towers,4.0,"Telecom , 1k-5k Employees , Fortune India 500 , 17 years old , Ahmedabad +159 more"
163,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Ahmedabad +455 more"
166,Asian Paints,4.1,"Chemicals , 5k-10k Employees , Public , 82 years old , Ahmedabad +443 more"
168,Dev Information Technology,3.9,"IT Services & Consulting , 501-1k Employees , Public , 27 years old , Ahmedabad +28 more"
169,Samsung,4.1,"Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old , Ahmedabad +499 more"
171,ICICI Lombard General Insurance Company,3.8,"Insurance , 10k-50k Employees , Public , 23 years old , Ahmedabad +264 more"
178,Paytm,3.5,"FinTech , 10k-50k Employees , Public , 14 years old , Ahmedabad +327 more"
179,Symphony,4.1,"Consumer Electronics & Appliances , 201-500 Employees , Public , 36 years old , Ahmedabad +57 more"
181,Delhivery,4.0,"Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Ahmedabad +632 more"
186,Sterling Hospitals,4.0,"Healthcare , 1k-5k Employees , Public , 23 years old , Ahmedabad +12 more"
187,BigBasket,4.0,"Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Ahmedabad +116 more"
190,Flipkart,4.0,"Internet , 10k-50k Employees , Public , 17 years old , Ahmedabad +516 more"
191,Deep Industries,3.5,"Oil & Gas , 1k-5k Employees , Public , 33 years old , Ahmedabad +9 more"
193,Bajaj Finserv,4.1,"Financial Services , 50k-1 Lakh Employees , Public , 17 years old , Ahmedabad +904 more"
197,upGrad,3.8,"EdTech , 5k-10k Employees , Indian Unicorn , 9 years old , Ahmedabad +38 more"
200,Wipro,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Ahmedabad +272 more"
202,UltraTech Cement,4.2,"Building Material , 10k-50k Employees , Public , 41 years old , Ahmedabad +433 more"
208,Quess,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Ahmedabad +542 more"
216,Meghmani Organics,3.9,"Chemicals , 501-1k Employees , Public , 38 years old , Ahmedabad +23 more"
219,Voltas,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 70 years old , Ahmedabad +174 more"
220,Oil And Natural Gas Corporation,4.3,"Oil & Gas , 10k-50k Employees , Public , 68 years old , Ahmedabad +65 more"
223,Oyo Rooms,3.4,"Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Ahmedabad +113 more"
225,Kotak Securities,3.7,"Financial Services , 5k-10k Employees , Conglomerate , 30 years old , Ahmedabad +116 more"
226,IBM,4.1,"IT Services & Consulting , 1 Lakh+ Employees , Public , 113 years old , Ahmedabad +149 more"
229,Maruti Suzuki,4.2,"Automobile , 10k-50k Employees , Public , 43 years old , Ahmedabad +380 more"
230,Indian Space Research Organisation,4.5,"Defence & Aerospace , 10k-50k Employees , Public , 55 years old , Ahmedabad +22 more"
233,Future Group,4.3,"Retail , 10k-50k Employees , Conglomerate , 11 years old , Ahmedabad +196 more"
237,Samvardhana Motherson Group,3.8,"Auto Components , 1k-5k Employees , Public , 38 years old , Ahmedabad +81 more"
238,Shapoorji Pallonji Group,4.2,"Engineering & Construction , 5k-10k Employees , Conglomerate , 159 years old , Ahmedabad +162 more"
244,Nandan Denim,3.3,"Fashion & Textile , 1k-5k Employees , Public , 30 years old , Ahmedabad"
252,JLL,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 25 years old , Ahmedabad +70 more"
253,Ratnamani Metals and Tubes,4.3,"Iron & Steel , 1k-5k Employees , Public , 41 years old , Ahmedabad +13 more"
256,Tata Projects,4.3,"Engineering & Construction , 5k-10k Employees , Public , 45 years old , Ahmedabad +237 more"
257,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Ahmedabad +192 more"
259,Hyatt Regency,4.2,"Hospitality , 1k-5k Employees , Forbes Global 2000 , 44 years old , Ahmedabad +43 more"
262,Megha Engineering & Infrastructures,4.0,"Engineering & Construction , 5k-10k Employees , Conglomerate , 35 years old , Ahmedabad +301 more"
263,DCB Bank,3.9,"Banking , 5k-10k Employees , Fortune India 500 , 94 years old , Ahmedabad +305 more"
264,Dainik Bhaskar Group,4.4,"Printing & Publishing , 5k-10k Employees , Public , 66 years old , Ahmedabad +128 more"
269,Anup Engineering,3.3,"Fashion & Textile , 51-200 Employees , Public , 62 years old , Ahmedabad +4 more"
273,Indiabulls Home Loans,3.9,"NBFC , 5k-10k Employees , Public , 19 years old , Ahmedabad +190 more"
274,Pidilite Industries,4.4,"Chemicals , 5k-10k Employees , Public , 65 years old , Ahmedabad +242 more"
276,ITC,4.0,"FMCG , 10k-50k Employees , Public , 114 years old , Ahmedabad +301 more"
279,Gujarat Ambuja Exports,3.7,"Agro Chemicals , 1k-5k Employees , Public , 33 years old , Ahmedabad +28 more"
282,Equitas Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Ahmedabad +368 more"
283,Ashima Group,3.6,"Fashion & Textile , 501-1k Employees , Public , 42 years old , Ahmedabad +8 more"
288,Bank of Baroda,3.6,"Banking , 50k-1 Lakh Employees , Fortune India 500 , 116 years old , Ahmedabad +242 more"
290,Rivigo,3.9,"Internet , 1k-5k Employees , Indian Unicorn , 10 years old , Ahmedabad +151 more"
293,ICICI Securities,3.8,"Financial Services , 1k-5k Employees , Public , 29 years old , Ahmedabad +122 more"
294,Gensol Engineering,4.3,"Power , 51-200 Employees , Public , 17 years old , Ahmedabad +14 more"
296,Sayaji Industries,3.7,"Agro Chemicals , 1k-5k Employees , Public , 83 years old , Ahmedabad +4 more"
297,Blue Dart Express,4.1,"Logistics , 10k-50k Employees , Public , 41 years old , Ahmedabad +234 more"
298,Finecure Pharmaceuticals,3.7,"Pharma , 201-500 Employees , Public , 19 years old , Ahmedabad +10 more"
301,Adani Transmission,3.9,"Real Estate , 501-1k Employees , Public , 11 years old , Ahmedabad +41 more"
302,Shah Alloys,3.0,"Iron & Steel , 1k-5k Employees , Public , 34 years old , Ahmedabad +4 more"
303,Cholamandalam Investment & Finance,4.1,"NBFC , 10k-50k Employees , Fortune India 500 , 46 years old , Ahmedabad +645 more"
304,Ujjivan Small Finance Bank,4.1,"Banking , 10k-50k Employees , Public , 7 years old , Ahmedabad +447 more"
306,Stelmec,3.5,"Electronics Manufacturing , 501-1k Employees , Public , 40 years old , Ahmedabad +24 more"
310,LG Electronics,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 66 years old , Ahmedabad +246 more"
314,Nestle,4.1,"Food Processing , 5k-10k Employees , Public , 65 years old , Ahmedabad +235 more"
318,SKF,4.0,"Auto Components , 1k-5k Employees , Public , 101 years old , Ahmedabad +62 more"
322,Tata Capital,4.2,"NBFC , 5k-10k Employees , Fortune India 500 , 17 years old , Ahmedabad +236 more"
324,Cera Sanitaryware,4.3,"Building Material , 1k-5k Employees , Public , 44 years old , Ahmedabad +60 more"
325,Osia Hypermart,3.3,"Retail , 51-200 Employees , Public , 10 years old , Ahmedabad +5 more"
327,Windsor Machines,3.7,"Industrial Machinery , 501-1k Employees , Public , 61 years old , Ahmedabad +15 more"
329,Vistaprint,3.7,"Internet , 1k-5k Employees , Startup , 12 years old , Ahmedabad +8 more"
330,Bandhan Bank,3.8,"Banking , 50k-1 Lakh Employees , Public , 23 years old , Ahmedabad +782 more"
331,Manappuram Finance,4.0,"NBFC , 10k-50k Employees , Public , 75 years old , Ahmedabad +513 more"
343,State Bank of India,3.9,"Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old , Ahmedabad +491 more"
345,Mahindra & Mahindra,4.2,"Automobile , 1 Lakh+ Employees , Public , 79 years old , Ahmedabad +480 more"
346,Motilal Oswal Financial Services,3.8,"Financial Services , 10k-50k Employees , Public , 37 years old , Ahmedabad +128 more"
350,Havells,4.1,"Electrical Equipment , 5k-10k Employees , Public , 41 years old , Ahmedabad +185 more"
351,Bureau Veritas,4.0,"Other , 1k-5k Employees , Forbes Global 2000 , 196 years old , Ahmedabad +114 more"
354,Scanpoint Geomatics,3.8,"IT Services & Consulting , 51-200 Employees , Public , 32 years old , Ahmedabad +3 more"
357,PwC,3.6,"Management Consulting , 10k-50k Employees , Conglomerate , 144 years old , Ahmedabad +93 more"
361,Indian Army,4.7,"Defence & Aerospace , 1 Lakh+ Employees , Public , 129 years old , Ahmedabad +326 more"
362,Thermax Limited,4.2,"Industrial Machinery , 1k-5k Employees , Public , 58 years old , Ahmedabad +181 more"
364,InterGlobe Aviation,3.6,"Aviation , 10k-50k Employees , Fortune India 500 , 19 years old , Ahmedabad +90 more"
365,CMS IT Services,3.2,"IT Services & Consulting , 5k-10k Employees , Startup , 10 years old , Ahmedabad +135 more"
366,Reliance Communications,4.0,"Telecom , 201-500 Employees , Public , 22 years old , Ahmedabad +420 more"
368,Procter & Gamble,4.2,"FMCG , 1k-5k Employees , Public , 187 years old , Ahmedabad +203 more"
370,CareEdge Ratings,2.9,"Financial Services , 501-1k Employees , Public , 31 years old , Ahmedabad +18 more"
373,UNO Minda,4.1,"Auto Components , 201-500 Employees , Fortune India 500 , 66 years old , Ahmedabad +87 more"
378,Sakar Healthcare,3.6,"Pharma , 51-200 Employees , Public , 20 years old , Ahmedabad +2 more"
382,McDonald's,4.2,"Hospitality , 1k-5k Employees , Forbes Global 2000 , 69 years old , Ahmedabad +138 more"
383,Tata Teleservices,4.1,"Telecom , 201-500 Employees , Public , 28 years old , Ahmedabad +142 more"
385,Godrej & Boyce Manufacturing,4.0,"Consumer Electronics & Appliances , 10k-50k Employees , Fortune India 500 , 127 years old , Ahmedabad +129 more"
386,Muthoot Finance,3.6,"NBFC , 10k-50k Employees , Public , 85 years old , Ahmedabad +645 more"
389,V-Trans,4.1,"Logistics , 1k-5k Employees , Public , 66 years old , Ahmedabad +71 more"
391,Narayana Health,4.2,"Healthcare , 10k-50k Employees , Fortune India 500 , 24 years old , Ahmedabad +57 more"
