,company_name,company_rating,other_data
87,Leverage Edu,4.2,"EdTech , 51-200 Employees , Startup , 7 years old , Noida +11 more"
88,Coforge,3.5,"IT Services & Consulting , 10k-50k Employees , Public , 20 years old , Noida +87 more"
94,Tech Mahindra Business Services,3.5,"BPO , 5k-10k Employees , Public , 21 years old , Noida +49 more"
95,Polestar Solutions & Services India,4.4,"IT Services & Consulting , 201-500 Employees , Startup , 12 years old , Noida +7 more"
103,Nokia,4.2,"Telecom , 10k-50k Employees , Forbes Global 2000 , 159 years old , Noida +149 more"
104,LTIMindtree,3.6,"IT Services & Consulting , 50k-1 Lakh Employees , Public , 27 years old , Noida +52 more"
105,Fluper,4.1,"IT Services & Consulting , 201-500 Employees , Public , 11 years old , Noida +2 more"
106,OPPO,4.0,"Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Noida +354 more"
107,Times Internet,3.6,"Internet , 10k-50k Employees , Public , 25 years old , Noida +23 more"
109,Addverb Technologies,4.0,"Industrial Automation , 501-1k Employees , Startup , 8 years old , Noida +15 more"
111,M.J Global,4.3,"Packaging , 201-500 Employees , Public , 44 years old , Noida +9 more"
113,upGrad,3.8,"EdTech , 5k-10k Employees , Indian Unicorn , 9 years old , Noida +38 more"
114,Physicswallah,3.8,"EdTech , 10k-50k Employees , Indian Unicorn , 5 years old , Noida +73 more"
115,Allsec Technologies,4.0,"BPO , 1k-5k Employees , Public , 24 years old , Noida +26 more"
119,Globus Infocom,4.8,"EdTech , 201-500 Employees , Conglomerate , 23 years old , Noida +20 more"
121,Landis+Gyr,3.7,"Electrical Equipment , 1k-5k Employees , Public , 128 years old , Noida +10 more"
122,Innovaccer,3.2,"Software Product , 1k-5k Employees , Indian Unicorn , 10 years old , Noida +5 more"
124,Kalpataru Power Transmission,4.2,"Engineering & Construction , 1k-5k Employees , Public , 43 years old , Noida +208 more"
125,BYJU'S Exam Prep,3.8,"EdTech , 501-1k Employees , Startup , 9 years old , Noida +26 more"
128,DISH TV,3.6,"Broadcasting , 201-500 Employees , Public , 21 years old , Noida +134 more"
129,Vivo,4.1,"Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old , Noida +373 more"
130,Spark Minda,3.9,"Auto Components , 1k-5k Employees , Public , 66 years old , Noida +60 more"
133,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Noida +660 more"
134,Fujitsu,3.9,"IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 89 years old , Noida +29 more"
135,Ebix Software India,3.3,"IT Services & Consulting , 1k-5k Employees , Public , 48 years old , Noida +30 more"
137,Helloverify,3.3,"Law Enforcement & Security , 501-1k Employees , Startup , 12 years old , Noida +5 more"
139,Cyient,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Noida +33 more"
141,S&P Global,4.2,"Analytics & KPO , 10k-50k Employees , Public , 164 years old , Noida +24 more"
142,Aon,3.9,"Financial Services , 5k-10k Employees , Forbes Global 2000 , 84 years old , Noida +19 more"
143,TSYS|Total System Services,4.4,"Financial Services , 1k-5k Employees , Public , 40 years old , Noida +7 more"
146,Moglix,3.6,"Internet , 501-1k Employees , Indian Unicorn , 9 years old , Noida +34 more"
147,3i Infotech,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 31 years old , Noida +105 more"
159,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Noida +192 more"
162,The Jaypee Group,3.9,"Engineering & Construction , 10k-50k Employees , Public , 45 years old , Noida +88 more"
164,Oracle,3.8,"Software Product , 50k-1 Lakh Employees , Public , 47 years old , Noida +47 more"
171,LG Electronics,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 66 years old , Noida +246 more"
176,Progressive Infotech,3.5,"IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 26 years old , Noida +54 more"
177,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Noida +182 more"
181,Care Health Insurance,3.8,"Internet , 5k-10k Employees , Public , 12 years old , Noida +197 more"
182,FarEye,3.0,"IT Services & Consulting , 501-1k Employees , Startup , 11 years old , Noida +3 more"
191,JK Tech,3.8,"IT Services & Consulting , 501-1k Employees , Public , 30 years old , Noida +17 more"
195,Kyndryl,4.1,"IT Services & Consulting , 10k-50k Employees , Public , 2 years old , Noida +26 more"
