,company_name,company_rating,other_data
116,DMart,4.0,"Retail , 10k-50k Employees , Fortune India 500 , 22 years old , Jaipur +213 more"
117,MyTeam11,4.6,"Gaming , 201-500 Employees , Startup , 8 years old , Jaipur +1 more"
123,Indian Army,4.7,"Defence & Aerospace , 1 Lakh+ Employees , Public , 129 years old , Jaipur +326 more"
126,Shalby Hospitals,4.6,"Healthcare , 1k-5k Employees , Public , 30 years old , Jaipur +23 more"
130,Bandhan Bank,3.8,"Banking , 50k-1 Lakh Employees , Public , 23 years old , Jaipur +782 more"
132,Ashiana Housing,4.1,"Real Estate , 501-1k Employees , Public , 45 years old , Jaipur +16 more"
133,ITC,4.0,"FMCG , 10k-50k Employees , Public , 114 years old , Jaipur +301 more"
135,Reliance Communications,4.0,"Telecom , 201-500 Employees , Public , 22 years old , Jaipur +420 more"
139,Equitas Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Jaipur +368 more"
143,Havells,4.1,"Electrical Equipment , 5k-10k Employees , Public , 41 years old , Jaipur +185 more"
144,Varun Beverages,4.1,"Beverage , 5k-10k Employees , Public , 29 years old , Jaipur +286 more"
146,Tata Motors,4.2,"Automobile , 10k-50k Employees , Public , 79 years old , Jaipur +433 more"
148,USHA International,4.2,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 90 years old , Jaipur +111 more"
149,Fortis Escorts Hospital,4.1,"Healthcare , 5k-10k Employees , Public , 36 years old , Jaipur +15 more"
152,Muthoot Finance,3.6,"NBFC , 10k-50k Employees , Public , 85 years old , Jaipur +645 more"
153,Accenture,4.0,"IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Jaipur +181 more"
156,Jana Small Finance Bank,3.9,"Banking , 10k-50k Employees , Public , 18 years old , Jaipur +354 more"
159,Tata Capital,4.2,"NBFC , 5k-10k Employees , Fortune India 500 , 17 years old , Jaipur +236 more"
160,State Bank of India,3.9,"Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old , Jaipur +491 more"
161,Shoppers Stop,4.1,"Retail , 5k-10k Employees , Public , 33 years old , Jaipur +66 more"
163,Poly Medicure,3.7,"Medical Equipment , 1k-5k Employees , Public , 27 years old , Jaipur +29 more"
164,RMC SWITCHGEARS,3.4,"Electrical Equipment , 201-500 Employees , Public , 30 years old , Jaipur +5 more"
171,Shriram Finance,4.1,"NBFC , 50k-1 Lakh Employees , Public , 45 years old , Jaipur +966 more"
173,Marriott International,4.3,"Hospitality , 10k-50k Employees , Forbes Global 2000 , 97 years old , Jaipur +73 more"
176,Shree Cement,4.0,"Building Material , 5k-10k Employees , Public , 45 years old , Jaipur +197 more"
177,DS Group,4.1,"FMCG , 1k-5k Employees , Conglomerate , 95 years old , Jaipur +208 more"
178,ElasticRun,3.4,"Logistics , 1k-5k Employees , Indian Unicorn , 8 years old , Jaipur +348 more"
180,Indus Towers,4.0,"Telecom , 1k-5k Employees , Fortune India 500 , 17 years old , Jaipur +159 more"
184,JK Cement,4.2,"Building Material , 1k-5k Employees , Public , 49 years old , Jaipur +244 more"
185,Fortis Healthcare,4.1,"Healthcare , 1k-5k Employees , Public , 28 years old , Jaipur +61 more"
186,Woodenstreet.com,3.5,"Furniture & Furnishing , 51-200 Employees , Startup , 9 years old , Jaipur +22 more"
190,Maruti Suzuki,4.2,"Automobile , 10k-50k Employees , Public , 43 years old , Jaipur +380 more"
195,Fexle Services,4.6,"IT Services & Consulting , 51-200 Employees , Public , 11 years old , Jaipur"
197,Ujjivan Small Finance Bank,4.1,"Banking , 10k-50k Employees , Public , 7 years old , Jaipur +447 more"
198,Tractors and Farm Equipment,4.1,"Industrial Machinery , 10k-50k Employees , Public , 64 years old , Jaipur +163 more"
201,ICICI Lombard General Insurance Company,3.8,"Insurance , 10k-50k Employees , Public , 23 years old , Jaipur +264 more"
208,Emami Agrotech,3.9,"Food Processing , 1k-5k Employees , Public , 22 years old , Jaipur +52 more"
211,CARS24,3.7,"Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Jaipur +148 more"
212,Genesys International Corporation,3.8,"IT Services & Consulting , 1k-5k Employees , Public , 29 years old , Jaipur +14 more"
213,PhonePe,4.1,"FinTech , 5k-10k Employees , Indian Unicorn , 9 years old , Jaipur +240 more"
216,Berger Paints,3.8,"Chemicals , 1k-5k Employees , Public , 101 years old , Jaipur +261 more"
222,Voylla,3.9,"Jewellery , 201-500 Employees , Startup , 12 years old , Jaipur +37 more"
223,Tata Projects,4.3,"Engineering & Construction , 5k-10k Employees , Public , 45 years old , Jaipur +237 more"
226,DCB Bank,3.9,"Banking , 5k-10k Employees , Fortune India 500 , 94 years old , Jaipur +305 more"
227,Fleeca India,3.2,"Logistics , 51-200 Employees , Startup , 8 years old , Jaipur +12 more"
228,Dabur,3.8,"FMCG , 5k-10k Employees , Public , 140 years old , Jaipur +250 more"
233,Inox Leisure,4.1,"Media & Entertainment , 1k-5k Employees , Public , 25 years old , Jaipur +86 more"
237,Pidilite Industries,4.4,"Chemicals , 5k-10k Employees , Public , 65 years old , Jaipur +242 more"
240,Indiabulls Home Loans,3.9,"NBFC , 5k-10k Employees , Public , 19 years old , Jaipur +190 more"
241,Cholamandalam Investment & Finance,4.1,"NBFC , 10k-50k Employees , Fortune India 500 , 46 years old , Jaipur +645 more"
243,Mahindra Finance,4.3,"NBFC , 10k-50k Employees , Public , 33 years old , Jaipur +632 more"
247,WeNet Global,5.0,"IT Services & Consulting , 51-200 Employees , Startup , 2 years old , Jaipur +3 more"
248,RBL Bank,3.8,"Banking , 10k-50k Employees , Public , 81 years old , Jaipur +226 more"
249,Bank of Baroda,3.6,"Banking , 50k-1 Lakh Employees , Fortune India 500 , 116 years old , Jaipur +242 more"
250,PNB MetLife,3.5,"Insurance , 5k-10k Employees , Conglomerate , 23 years old , Jaipur +326 more"
252,Swiggy,3.9,"Internet , 5k-10k Employees , Indian Unicorn , 10 years old , Jaipur +193 more"
256,Capri Global Capital,3.7,"NBFC , 1k-5k Employees , Public , 27 years old , Jaipur +218 more"
259,Poonawalla Fincorp,3.9,"NBFC , 1k-5k Employees , Public , 36 years old , Jaipur +246 more"
267,Health Care Global Enterprises,4.2,"Healthcare , 5k-10k Employees , Public , 35 years old , Jaipur +40 more"
269,Data Ingenious Global,3.8,"IT Services & Consulting , 501-1k Employees , Public , 29 years old , Jaipur +14 more"
270,Blinkit,3.9,"Internet , 1k-5k Employees , Indian Unicorn , 11 years old , Jaipur +64 more"
280,JK Lakshmi Cement,3.9,"Building Material , 1k-5k Employees , Public , 42 years old , Jaipur +112 more"
281,Indian Oil Corporation,4.4,"Oil & Gas , 10k-50k Employees , Fortune India 500 , 65 years old , Jaipur +261 more"
282,Manappuram Finance,4.0,"NBFC , 10k-50k Employees , Public , 75 years old , Jaipur +513 more"
292,Future Group,4.3,"Retail , 10k-50k Employees , Conglomerate , 11 years old , Jaipur +196 more"
295,Mahindra Rural Housing Finance,4.1,"NBFC , 10k-50k Employees , Public , 17 years old , Jaipur +415 more"
296,NeuroEquilibrium,4.3,"Healthcare , 51-200 Employees , Startup , 9 years old , Jaipur +12 more"
303,BigBasket,4.0,"Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Jaipur +116 more"
306,Trent,4.1,"Retail , 10k-50k Employees , Public , 26 years old , Jaipur +110 more"
307,Vakrangee,3.7,"BPO , 1k-5k Employees , Public , 34 years old , Jaipur +84 more"
314,Sandhar Technologies,3.9,"Auto Components , 1k-5k Employees , Public , 37 years old , Jaipur +28 more"
315,ITC Hotels,4.2,"Hospitality , 5k-10k Employees , Public , 49 years old , Jaipur +76 more"
316,Lenskart,3.3,"Internet , 5k-10k Employees , Indian Unicorn , 14 years old , Jaipur +171 more"
319,McDonald's,4.2,"Hospitality , 1k-5k Employees , Forbes Global 2000 , 69 years old , Jaipur +138 more"
320,Sandhar Technologies,3.9,"Auto Components , 1k-5k Employees , Public , 37 years old , Jaipur +28 more"
321,McDonald's,4.2,"Hospitality , 1k-5k Employees , Forbes Global 2000 , 69 years old , Jaipur +138 more"
322,Domino's Pizza,4.0,"Hospitality , 1k-5k Employees , Public , 64 years old , Jaipur +217 more"
323,Kotak Mahindara Life Insurance,3.9,"Insurance , 10k-50k Employees , Public , 23 years old , Jaipur +212 more"
324,TTK Healthcare,4.2,"Healthcare , 1k-5k Employees , Public , 96 years old , Jaipur +69 more"
325,Abbott,4.2,"Pharma , 10k-50k Employees , Public , 136 years old , Jaipur +169 more"
326,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Jaipur +349 more"
329,Lenskart,3.3,"Internet , 5k-10k Employees , Indian Unicorn , 14 years old , Jaipur +171 more"
331,Bharat Financial Inclusion,4.0,"NBFC , 10k-50k Employees , Public , 26 years old , Jaipur +345 more"
338,Habilelabs,4.1,"Emerging Technologies , 51-200 Employees , Startup , 8 years old , Jaipur +1 more"
339,LG Electronics,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 66 years old , Jaipur +246 more"
341,Habilelabs,4.1,"Emerging Technologies , 51-200 Employees , Startup , 8 years old , Jaipur +1 more"
342,Jubilant Foods Works,3.9,"Hospitality , 10k-50k Employees , Public , 29 years old , Jaipur +198 more"
346,Cipla,4.1,"Pharma , 10k-50k Employees , Public , 89 years old , Jaipur +239 more"
351,Tata Play,4.0,"Broadcasting , 5k-10k Employees , Public , 18 years old , Jaipur +190 more"
355,Electronica Finance,4.2,"NBFC , 1k-5k Employees , Public , 34 years old , Jaipur +104 more"
356,Digamber Capfin,4.3,"Financial Services , 51-200 Employees , Public , 29 years old , Jaipur +13 more"
357,Hilton,4.4,"Hospitality , 1k-5k Employees , Forbes Global 2000 , 105 years old , Jaipur +36 more"
359,Mahindra Logistics,4.1,"Logistics , 1k-5k Employees , Public , 24 years old , Jaipur +133 more"
366,Hindustan Unilever,4.3,"FMCG , 10k-50k Employees , Public , 152 years old , Jaipur +436 more"
371,InterGlobe Aviation,3.6,"Aviation , 10k-50k Employees , Fortune India 500 , 19 years old , Jaipur +90 more"
372,HCL Infosystems,4.1,"IT Services & Consulting , 51-200 Employees , Public , 48 years old , Jaipur +105 more"
378,Crowne Plaza,4.1,"Hospitality , 501-1k Employees , Public , 41 years old , Jaipur +28 more"
385,Royal Orchid Hotels,4.0,"Hospitality , 1k-5k Employees , Public , 38 years old , Jaipur +42 more"
387,Patanjali Ayurved,3.2,"FMCG , 1k-5k Employees , Fortune India 500 , 18 years old , Jaipur +254 more"
389,BlackBuck,3.9,"Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Jaipur +320 more"
391,Metro Cash & Carry,4.3,"Retail , 1k-5k Employees , Forbes Global 2000 , 21 years old , Jaipur +77 more"
392,Ashok Leyland,4.1,"Automobile , 5k-10k Employees , Public , 76 years old , Jaipur +216 more"
