,company_name,company_rating,other_data
69,J. Kumar Infraprojects,4.1,"Engineering & Construction , 5k-10k Employees , Public , 44 years old , Mumbai +29 more"
70,General Mills,4.2,"Food Processing , 1k-5k Employees , Forbes Global 2000 , 96 years old , Mumbai +39 more"
71,RBL Bank,3.8,"Banking , 10k-50k Employees , Public , 81 years old , Mumbai +226 more"
72,Concentrix Corporation,3.9,"BPO , 50k-1 Lakh Employees , Public , 41 years old , Mumbai +117 more"
73,First Source,3.8,"BPO , 10k-50k Employees , Public , 23 years old , Mumbai +55 more"
74,UltraTech Cement,4.2,"Building Material , 10k-50k Employees , Public , 41 years old , Mumbai +433 more"
75,Indian Navy,4.6,"Defence & Aerospace , 50k-1 Lakh Employees , Central , 74 years old , Mumbai +56 more"
76,Foundever,3.8,"BPO , 5k-10k Employees , Conglomerate , 39 years old , Mumbai +16 more"
77,ABC,4.0,"Broadcasting , 1k-5k Employees (Global) , Public , 81 years old , Mumbai +103 more"
78,CBRE,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old , Mumbai +75 more"
80,Nomura Holdings,3.8,"Investment Banking / Venture Capital / Private Equity , 1k-5k Employees , Public , 15 years old , Mumbai +9 more"
81,Jet Airways,4.6,"Aviation , 201-500 Employees , Public , 31 years old , Mumbai +42 more"
82,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Mumbai +660 more"
83,Tata Communications,4.1,"Telecom , 5k-10k Employees , Public , 38 years old , Mumbai +86 more"
84,Capacit'e Infraprojects,3.6,"Engineering & Construction , 1k-5k Employees , Public , 12 years old , Mumbai +31 more"
85,JLL,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 25 years old , Mumbai +70 more"
86,NSE.IT,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 25 years old , Mumbai +134 more"
87,IIFL Finance,4.0,"NBFC , 10k-50k Employees , Public , 29 years old , Mumbai +673 more"
88,Deutsche Bank,4.0,"Banking , 10k-50k Employees , Fortune India 500 , 154 years old , Chennai +38 more"
89,Bajaj Electricals,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 86 years old , Chennai +199 more"
90,Sodexo,4.1,"Facility Management Services , 10k-50k Employees , Forbes Global 2000 , 16 years old , Chennai +131 more"
91,Cogoport,3.0,"Internet , 51-200 Employees , Startup , 8 years old , Chennai +12 more"
92,DHL Express,4.1,"Logistics , 1k-5k Employees , Conglomerate , 45 years old , Chennai +84 more"
93,Hexaware Technologies,3.7,"IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 34 years old , Chennai +46 more"
95,Hindustan Construction Company,4.3,"Engineering & Construction , 1k-5k Employees , Public , 98 years old , Chennai +81 more"
96,Kotak Mahindara Life Insurance,3.9,"Insurance , 10k-50k Employees , Public , 23 years old , Chennai +212 more"
97,SS&C TECHNOLOGIES,3.5,"IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 38 years old , Chennai +25 more"
98,CMS IT Services,3.2,"IT Services & Consulting , 5k-10k Employees , Startup , 10 years old , Chennai +135 more"
