,company_name,company_rating,industry,size,type,years_old,location
988,Unibera Developers,4.8,Real Estate,51-200 Employees,Public,20,Noida
989,TPI India,3.5,Packaging,51-200 Employees (Global),Public,49,Noida
990,Portdesk,1.0,Internet,11-50 Employees (Global),Startup,10,Noida
991,Portdesk,1.0,Internet,11-50 Employees (Global),Startup,10,Noida
992,Religare Commodities,4.1,Investment Banking / Venture Capital / Private Equity,1k-5k Employees (Global),Public,21,Noida
993,TPI India,3.5,Packaging,51-200 Employees (Global),Public,49,Noida
994,Sunil Hitech Engineers,4.3,Engineering & Construction,501-1k Employees,Public,26,Noida
995,Unibera Developers,4.8,Real Estate,51-200 Employees,Public,20,Noida
996,Lucky Nugget Gaming,4.1,Animation & VFX,51-200 Employees,MNC,12,Noida
997,Kezan Consulting,3.7,Other,11-50 Employees,Startup,1,Noida
998,Abhiman Innovations,5.0,Internet,11-50 Employees,Startup,4,Noida
999,Genius Corner,4.7,EdTech,11-50 Employees (Global),Public,14,Noida
1000,Religare Commodities,4.1,Investment Banking / Venture Capital / Private Equity,1k-5k Employees (Global),Public,21,Noida
1001,Sunil Hitech Engineers,4.3,Engineering & Construction,501-1k Employees,Public,26,Noida
1002,Lucky Nugget Gaming,4.1,Animation & VFX,51-200 Employees,MNC,12,Noida
1003,A.G. Enterprises,4.3,Electrical Equipment,11-50 Employees,Startup,3,Noida
1004,A.G. Enterprises,4.3,Electrical Equipment,11-50 Employees,Startup,3,Noida
