,company_name,company_rating,industry,size,type,years_old,location
459,EPL Limited,4.0,Packaging,1k-5k Employees,Public,40,Ahmedabad
460,Wapcos,3.6,Engineering & Construction,1k-5k Employees,State,55,Ahmedabad
461,Ajanta Pharma,4.1,Pharma,5k-10k Employees,Public,51,Ahmedabad
462,Xiaomi,3.9,Consumer Electronics & Appliances,1k-5k Employees,Forbes Global 2000,14,Ahmedabad
463,Railtel Corporation Of India,3.9,Hardware & Networking,1k-5k Employees,Public,24,Ahmedabad
464,VOIS Call Center,3.9,Telecom,50k-1 Lakh Employees (Global),Public,42,Ahmedabad
465,Sterling Holiday Resort,3.9,Hospitality,1k-5k Employees,Public,38,Ahmedabad
466,Nykaa,3.5,Internet,1k-5k Employees,Public,12,Ahmedabad
467,V.S.T Tillers Tractors,3.6,Industrial Machinery,201-500 Employees,Public,57,Ahmedabad
468,Urban Company,3.6,Internet,1k-5k Employees,Indian Unicorn,9,Ahmedabad
469,MakeMyTrip,3.7,Internet,5k-10k Employees,Public,24,Ahmedabad
470,Satin Creditcare Network,4.1,NBFC,5k-10k Employees,Public,34,Ahmedabad
471,ITD Cementation India,4.3,Engineering & Construction,1k-5k Employees,Public,93,Ahmedabad
472,Nitco,4.3,Building Material,1k-5k Employees,Public,71,Ahmedabad
473,Ajanta Pharma,4.1,Pharma,5k-10k Employees,Public,51,Ahmedabad
474,EPL Limited,4.0,Packaging,1k-5k Employees,Public,40,Ahmedabad
475,DIC India,4.2,Chemicals,501-1k Employees,Public,77,Ahmedabad
476,DP World,4.1,Logistics,1k-5k Employees,Public,19,Ahmedabad
477,Medlife,3.7,Internet,1k-5k Employees,Startup,10,Ahmedabad
478,Railtel Corporation Of India,3.9,Hardware & Networking,1k-5k Employees,Public,24,Ahmedabad
479,Nykaa,3.5,Internet,1k-5k Employees,Public,12,Ahmedabad
480,V.S.T Tillers Tractors,3.6,Industrial Machinery,201-500 Employees,Public,57,Ahmedabad
481,Asahi India Glass,3.9,Auto Components,1k-5k Employees,Public,40,Ahmedabad
482,Greenlam Industries,4.2,Building Material,1k-5k Employees,Public,11,Ahmedabad
483,Shott Amusement Limited,4.4,Media & Entertainment,201-500 Employees,Public,9,Ahmedabad
484,Shott Amusement Limited,4.4,Media & Entertainment,201-500 Employees,Public,9,Ahmedabad
485,Infra.Market,4.2,Building Material,1k-5k Employees,Indian Unicorn,8,Ahmedabad
486,Schoolnet India,3.8,EdTech,51-200 Employees,Public,27,Ahmedabad
487,Schoolnet India,3.8,EdTech,51-200 Employees,Public,27,Ahmedabad
488,Crisil,3.7,Financial Services,1k-5k Employees,Public,37,Ahmedabad
