,company_name,company_rating,industry,size,type,years_old,location
414,Ksk Energy Ventures,4.5,Oil & Gas,1k-5k Employees,Public,23,Hyderabad
415,Info Edge,4.0,Internet,5k-10k Employees,Public,29,Hyderabad
416,Life Insurance Corporation of India,4.4,Insurance,1 Lakh+ Employees,Fortune India 500,68,Hyderabad
417,Security and Intelligence Services (India),4.1,Law Enforcement & Security,1 Lakh+ Employees,Public,39,Hyderabad
418,Future Retail,4.3,Retail,10k-50k Employees,Public,37,Hyderabad
419,InsanelyGood,4.1,Internet,11-50 Employees,Startup,9,Hyderabad
420,PharmEasy,3.7,Internet,1k-5k Employees,Indian Unicorn,9,Hyderabad
421,KEC International,4.1,Engineering & Construction,5k-10k Employees,Public,79,Hyderabad
422,The Ramco Cements,4.3,Building Material,1k-5k Employees,Public,63,Hyderabad
423,Bata,3.9,Fashion & Textile,1k-5k Employees,Public,93,Hyderabad
424,National Institute of Rural Development and Panchayati Raj,3.9,Government,201-500 Employees,Public,41,Hyderabad
425,ElasticRun,3.4,Logistics,1k-5k Employees,Indian Unicorn,8,Hyderabad
426,Pfizer,4.1,Pharma,1k-5k Employees,Public,20,Hyderabad
427,Ashok Leyland,4.1,Automobile,5k-10k Employees,Public,76,Hyderabad
428,Sarvotham Care,4.1,Pharma,51-200 Employees,Public,28,Hyderabad
429,Marico,4.1,FMCG,1k-5k Employees,Public,36,Hyderabad
430,Bhagwati Products,3.9,Consumer Electronics & Appliances,11-50 Employees,Public,22,Hyderabad
431,TVS Motor,4.1,Automobile,5k-10k Employees,Public,45,Hyderabad
432,Air India,4.0,Aviation,10k-50k Employees,Central,94,Hyderabad
433,Britannia,4.1,FMCG,1k-5k Employees,Public,132,Hyderabad
434,Vigilare Biopharma,4.4,Internet,11-50 Employees (Global),Startup,10,Hyderabad
435,DSM,4.4,Chemicals,1k-5k Employees,Forbes Global 2000,122,Hyderabad
436,Canara Bank,3.5,Banking,50k-1 Lakh Employees,Public,118,Hyderabad
437,Jet Airways,4.6,Aviation,201-500 Employees,Public,31,Hyderabad
438,TIDE,4.7,FinTech,501-1k Employees,Startup,9,Hyderabad
439,Indian Oil Corporation,4.4,Oil & Gas,10k-50k Employees,Fortune India 500,65,Hyderabad
440,Megasoft,3.7,IT Services & Consulting,51-200 Employees,Public,30,Hyderabad
441,Practically,2.3,Internet,201-500 Employees,Startup,6,Hyderabad
442,KMC Constructions,3.6,Engineering & Construction,201-500 Employees,Public,27,Hyderabad
443,Rebel Foods,3.8,Internet,5k-10k Employees,Indian Unicorn,12,Hyderabad
444,Devyani International,3.9,Hospitality,10k-50k Employees,Public,33,Hyderabad
445,KMC Constructions,3.6,Engineering & Construction,201-500 Employees,Public,27,Hyderabad
446,Samunnati Financial Intermediation and Services,4.5,Financial Services,201-500 Employees,Startup,10,Hyderabad
447,Dunzo,3.5,Internet,1k-5k Employees,Startup,10,Hyderabad
448,Pine Labs,3.7,FinTech,1k-5k Employees,Indian Unicorn,26,Hyderabad
449,VLCC,3.7,Beauty & Personal Care,1k-5k Employees,Conglomerate,35,Hyderabad
450,Freyr Energy Services,3.9,Power,51-200 Employees,Startup,12,Hyderabad
451,Toshiba,4.0,Industrial Machinery,201-500 Employees,Forbes Global 2000,149,Hyderabad
452,Optimus Global Services,4.1,BPO,51-200 Employees,Public,22,Hyderabad
453,Optimus Global Services,4.1,BPO,51-200 Employees,Public,22,Hyderabad
454,Safexpress,4.1,Logistics,1k-5k Employees,Conglomerate,27,Hyderabad
455,Hexaware Technologies,3.7,IT Services & Consulting,10k-50k Employees,Fortune India 500,34,Hyderabad
456,Vasista Enterprise Solutions,3.7,Financial Services,51-200 Employees,Startup,11,Hyderabad
457,CarDekho,3.7,Internet,1k-5k Employees,Indian Unicorn,16,Hyderabad
458,Citibank,4.0,Banking,10k-50k Employees (Global),Fortune India 500,212,Hyderabad
459,FedEx Express,4.2,Logistics,5k-10k Employees,Forbes Global 2000,53,Hyderabad
460,Synopsys,4.0,Software Product,1k-5k Employees,Public,38,Hyderabad
461,Deccan Cements,4.3,Building Material,501-1k Employees,Public,45,Hyderabad
462,HSBC Global Banking and Markets,4.1,Banking,10k-50k Employees,Public,33,Hyderabad
463,KONE,4.3,Industrial Machinery,5k-10k Employees,Forbes Global 2000,114,Hyderabad
464,Care Health Insurance,3.8,Internet,5k-10k Employees,Public,12,Hyderabad
465,Alkem Laboratories,4.0,Pharma,10k-50k Employees,Public,51,Hyderabad
466,Unique Biotech,3.5,Pharma,51-200 Employees,Public,23,Hyderabad
467,Zenotech Laboratories,4.3,Biotechnology,51-200 Employees,Public,35,Hyderabad
468,XTGlobal,4.4,IT Services & Consulting,501-1k Employees,Public,26,Hyderabad
469,Lokal App,3.8,Internet,51-200 Employees,Startup,6,Hyderabad
470,Jacobs Engineering Group,4.1,Engineering & Construction,1k-5k Employees,Forbes Global 2000,77,Hyderabad
471,Supreme Industries,4.2,Petrochemicals,5k-10k Employees,Public,82,Hyderabad
472,Welspun World,3.8,Building Material,1k-5k Employees,Public,39,Hyderabad
473,Daikin,4.2,Consumer Electronics & Appliances,1k-5k Employees,Fortune India 500,24,Hyderabad
474,Dbs Mintek,3.6,Financial Services,1k-5k Employees,Forbes Global 2000,16,Hyderabad
475,Aditya Birla Group,4.1,Building Material,1 Lakh+ Employees,Conglomerate,167,Hyderabad
476,Bambino Agro Industries,4.1,Food Processing,201-500 Employees,Public,42,Pune
477,Zydus Lifesciences,4.2,Pharma,10k-50k Employees,Public,72,Pune
478,Electronics Mart India,3.8,Retail,1k-5k Employees,Public,44,Hyderabad
479,Glenmark Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,47,Hyderabad
480,Ourfood,2.9,Internet,51-200 Employees,Startup,8,Hyderabad
481,IDBI Intech Limited,3.7,IT Services & Consulting,1k-5k Employees,Public,24,Hyderabad
482,Thomas Cook,3.9,Travel & Tourism,1k-5k Employees,Public,143,Hyderabad
483,Hala Mobility,5.0,Internet,51-200 Employees,Startup,4,Hyderabad
484,CMC,4.2,Education & Training,10k-50k Employees,Public,56,Hyderabad
485,Big Bazaar,4.3,Retail,10k-50k Employees,Conglomerate,23,Hyderabad
486,Polycab Wires,4.1,Electrical Equipment,1k-5k Employees,Fortune India 500,28,Hyderabad
487,Tata Elxsi,4.0,IT Services & Consulting,5k-10k Employees,Public,35,Hyderabad
488,Bharat Sanchar Nigam,4.0,Telecom,50k-1 Lakh Employees,Central,24,Hyderabad
489,Big Bazaar,4.3,Retail,10k-50k Employees,Conglomerate,23,Hyderabad
490,Tata Elxsi,4.0,IT Services & Consulting,5k-10k Employees,Public,35,Hyderabad
491,IQVIA,4.0,Clinical Research,10k-50k Employees,Forbes Global 2000,42,Hyderabad
492,Keka HR Payroll Software,3.1,Internet,51-200 Employees,Startup,10,Hyderabad
493,Edelweiss,3.8,Financial Services,1k-5k Employees,Public,7,Hyderabad
494,Cavinkare,4.0,FMCG,1k-5k Employees,Conglomerate,41,Hyderabad
495,Lupin,4.1,Pharma,1k-5k Employees,Public,56,Hyderabad
496,SAP,4.3,Software Product,10k-50k Employees,Forbes Global 2000,52,Hyderabad
