,company_name,company_rating,industry,size,type,years_old,location
109,Kotak Securities,3.7,Financial Services,5k-10k Employees,Conglomerate,30,Mumbai
110,Kalpataru Group,3.9,Real Estate,1k-5k Employees,Conglomerate,55,Mumbai
111,Expertrons,3.8,Education & Training,201-500 Employees,Startup,5,Mumbai
112,Quantiphi Analytics Solutions Private Limited,3.1,IT Services & Consulting,1k-5k Employees,Startup,11,Mumbai
113,Tata Capital,4.2,NBFC,5k-10k Employees,Fortune India 500,17,Mumbai
114,uFaber,2.8,Education & Training,1k-5k Employees,Startup,11,Mumbai
115,Samsung,4.1,Consumer Electronics & Appliances,50k-1 Lakh Employees,Public,55,Mumbai
116,State Bank of India,3.9,Banking,1 Lakh+ Employees,Fortune India 500,218,Mumbai
117,Intellect Design Arena,4.1,FinTech,5k-10k Employees,Public,13,Mumbai
118,Aditya Birla Fashion and Retail,4.2,Fashion & Textile,10k-50k Employees,Fortune India 500,36,Mumbai
119,UPL,4.2,Agro Chemicals,5k-10k Employees,Public,55,Mumbai
120,Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,26,Mumbai
121,Atos,3.8,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,27,Mumbai
122,Bharat Petroleum,4.2,Oil & Gas,5k-10k Employees,Fortune India 500,72,Mumbai
123,Wockhardt,3.9,Pharma,5k-10k Employees,Public,25,Mumbai
124,ITD Cementation India,4.3,Engineering & Construction,1k-5k Employees,Public,93,Mumbai
125,Pfizer,4.1,Pharma,1k-5k Employees,Public,20,Mumbai
126,Quess,4.0,BPO,1k-5k Employees,Public,17,Mumbai
127,Blue Star,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,81,Mumbai
128,Piramal Group,4.0,Financial Services,10k-50k Employees,Fortune India 500,44,Mumbai
129,Standard Chartered,3.9,Banking,10k-50k Employees,Fortune India 500,171,Mumbai
130,Impact Guru,4.1,Internet,501-1k Employees,Startup,10,Mumbai
131,Nykaa,3.5,Internet,1k-5k Employees,Public,12,Mumbai
132,Aditya Birla Group,4.1,Building Material,1 Lakh+ Employees,Conglomerate,167,Mumbai
133,Zydus Lifesciences,4.2,Pharma,10k-50k Employees,Public,72,Mumbai
134,Godrej Properties,3.7,Real Estate,1k-5k Employees,Public,34,Mumbai
135,Flipkart,4.0,Internet,10k-50k Employees,Public,17,Mumbai
136,Hinduja Global Solutions,4.0,IT Services & Consulting,10k-50k Employees,Public,24,Mumbai
137,Aditya Birla Capital,4.0,Financial Services,10k-50k Employees,Public,7,Mumbai
138,ACC,4.0,Building Material,5k-10k Employees,Public,88,Mumbai
139,Toothsi,2.8,Internet,501-1k Employees,Startup,6,Mumbai
140,NCR Corporation,4.1,IT Services & Consulting,5k-10k Employees,Forbes Global 2000,140,Mumbai
141,Saint-Gobain,4.0,Building Material,10k-50k Employees,Forbes Global 2000,359,Mumbai
142,IQVIA,4.0,Clinical Research,10k-50k Employees,Forbes Global 2000,42,Mumbai
143,Indoco Remedies,3.7,Pharma,5k-10k Employees,Public,77,Mumbai
144,PharmEasy,3.7,Internet,1k-5k Employees,Indian Unicorn,9,Mumbai
145,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Mumbai
146,Kansai Nerolac Paints,3.9,Chemicals,1k-5k Employees,Public,104,Mumbai
147,Marico,4.1,FMCG,1k-5k Employees,Public,36,Mumbai
148,Voltas,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,70,Mumbai
149,Thomas Cook,3.9,Travel & Tourism,1k-5k Employees,Public,143,Mumbai
150,Colgate Palmolive,4.2,FMCG,1k-5k Employees,Public,87,Mumbai
151,Genesys International Corporation,3.8,IT Services & Consulting,1k-5k Employees,Public,29,Mumbai
152,Sanofi,4.4,Pharma,1k-5k Employees,Public,20,Mumbai
153,Sharekhan,4.0,Financial Services,1k-5k Employees,Public,24,Mumbai
154,Medikabazaar,4.7,Medical Equipment,501-1k Employees,Startup,10,Mumbai
155,Wipro Infotech,4.0,IT Services & Consulting,1 Lakh+ Employees (Global),MNC,79,Mumbai
156,Trent,4.1,Retail,10k-50k Employees,Public,26,Mumbai
157,LEAD School,3.3,EdTech,1k-5k Employees,Indian Unicorn,11,Mumbai
158,Paytm,3.5,FinTech,10k-50k Employees,Public,14,Mumbai
159,ICICI Securities,3.8,Financial Services,1k-5k Employees,Public,29,Mumbai
160,Aarti Industries,4.2,Agro Chemicals,5k-10k Employees,Public,49,Mumbai
161,Kalpataru Power Transmission,4.2,Engineering & Construction,1k-5k Employees,Public,43,Mumbai
162,Bureau Veritas,4.0,Other,1k-5k Employees,Forbes Global 2000,196,Mumbai
163,Metropolis Healthcare,4.1,Healthcare,1k-5k Employees,Conglomerate,44,Mumbai
164,Mahindra Logistics,4.1,Logistics,1k-5k Employees,Public,24,Mumbai
165,Raymond,4.1,Fashion & Textile,5k-10k Employees,Public,99,Mumbai
166,HDFC Securities,3.7,Financial Services,1k-5k Employees,Public,24,Mumbai
167,Bank of Baroda,3.6,Banking,50k-1 Lakh Employees,Fortune India 500,116,Mumbai
168,Mahindra Finance,4.3,NBFC,10k-50k Employees,Public,33,Mumbai
169,Fynd,3.6,Internet,501-1k Employees,Public,12,Mumbai
170,McDonald's,4.2,Hospitality,1k-5k Employees,Forbes Global 2000,69,Mumbai
171,IDBI Bank,3.7,Banking,10k-50k Employees,Public,60,Mumbai
172,Royal Caribbean International,3.5,Sports & Recreation,501-1k Employees,Public,55,Mumbai
173,Hindustan Petroleum,4.3,Oil & Gas,5k-10k Employees,Central,50,Mumbai
174,Delhivery,4.0,Logistics,10k-50k Employees,Fortune India 500,13,Mumbai
175,Indiabulls Home Loans,3.9,NBFC,5k-10k Employees,Public,19,Mumbai
176,Datamatics Business Solutions,3.4,Management Consulting,1k-5k Employees,Public,42,Mumbai
177,National Stock Exchange of India,3.7,Financial Services,1k-5k Employees,Fortune India 500,32,Mumbai
178,Go First,3.7,Aviation,1k-5k Employees,Public,19,Mumbai
179,JM Financial,3.8,Financial Services,1k-5k Employees,Public,40,Mumbai
180,IIT Bombay,4.6,Education & Training,501-1k Employees,Public,66,Mumbai
181,Carnival Cruise Lines,4.5,Sports & Recreation,1k-5k Employees,Public,52,Mumbai
182,Hindalco Industries,4.3,Metals & Mining,10k-50k Employees,Public,66,Mumbai
183,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Mumbai
184,3i Infotech,3.6,IT Services & Consulting,1k-5k Employees,Public,31,Mumbai
185,Bajaj Finserv,4.1,Financial Services,50k-1 Lakh Employees,Public,17,Mumbai
186,Swiggy,3.9,Internet,5k-10k Employees,Indian Unicorn,10,Mumbai
187,Parag Milk Foods,4.3,FMCG,1k-5k Employees,Public,32,Mumbai
188,Zepto,3.7,Internet,1k-5k Employees,Indian Unicorn,3,Mumbai
189,Porter,4.2,Internet,1k-5k Employees,Startup,10,Mumbai
190,Medley Pharmaceuticals,4.1,Pharma,1k-5k Employees,Public,55,Mumbai
191,J B Chemicals And Pharmaceuticals,3.9,Pharma,1k-5k Employees,Public,48,Mumbai
192,CG Power and Industrial Solutions,3.9,Electrical Equipment,1k-5k Employees,Public,87,Mumbai
193,Ingram Micro,3.9,IT Services & Consulting,1k-5k Employees,Conglomerate,45,Mumbai
194,Mondelez International,4.4,Food Processing,1k-5k Employees,Forbes Global 2000,12,Mumbai
195,Mahanagar Gas,4.2,Oil & Gas,501-1k Employees,Public,29,Mumbai
196,Schneider Electric,4.2,Industrial Automation,10k-50k Employees,Forbes Global 2000,25,Mumbai
197,Reliance Communications,4.0,Telecom,201-500 Employees,Public,22,Mumbai
198,Johnson Controls,3.7,Industrial Automation,5k-10k Employees,Public,139,Mumbai
199,Blue Dart Express,4.1,Logistics,10k-50k Employees,Public,41,Mumbai
200,63 Moons Technologies,3.8,IT Services & Consulting,501-1k Employees,Public,36,Mumbai
201,Oil And Natural Gas Corporation,4.3,Oil & Gas,10k-50k Employees,Public,68,Mumbai
202,Grasim Industries,4.1,Building Material,10k-50k Employees,Public,77,Mumbai
203,Kissht Finance,4.1,FinTech,201-500 Employees,Startup,9,Mumbai
204,Tata Steel,4.2,Iron & Steel,1 Lakh+ Employees,Public,117,Mumbai
205,FedEx Express,4.2,Logistics,5k-10k Employees,Forbes Global 2000,53,Mumbai
206,InterGlobe Aviation,3.6,Aviation,10k-50k Employees,Fortune India 500,19,Mumbai
207,Rebel Foods,3.8,Internet,5k-10k Employees,Indian Unicorn,12,Mumbai
208,Oracle Financial Services Software,3.7,IT Services & Consulting,10k-50k Employees,Public,34,Mumbai
209,Inox Leisure,4.1,Media & Entertainment,1k-5k Employees,Public,25,Mumbai
210,Team Lease,4.0,Recruitment,1k-5k Employees,Public,8,Mumbai
211,Aarvi Encon,4.1,Recruitment,5k-10k Employees,Public,37,Mumbai
212,Oberoi Realty,3.9,Real Estate,501-1k Employees,Public,44,Mumbai
213,Zee Entertainment Enterprises,3.6,Media & Entertainment,1k-5k Employees,Public,32,Mumbai
214,BigBasket,4.0,Internet,10k-50k Employees,Indian Unicorn,13,Mumbai
215,Orient Technologies,3.9,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,32,Mumbai
216,L&T Technology Services,3.4,IT Services & Consulting,10k-50k Employees,Public,12,Mumbai
217,Nilkamal,3.9,Furniture & Furnishing,1k-5k Employees,Public,43,Mumbai
218,Siyaram Silk Mills,3.8,Fashion & Textile,1k-5k Employees,Public,46,Mumbai
219,Godrej Consumer Products,4.2,FMCG,1k-5k Employees,Public,23,Mumbai
220,Ketto,4.0,Internet,201-500 Employees,Startup,12,Mumbai
