,company_name,company_rating,industry,size,type,years_old,location
6523,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6524,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6525,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6526,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6527,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6528,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6529,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6530,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6531,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6532,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6533,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6534,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6535,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6536,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6537,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6538,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6539,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6540,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6541,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6542,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6543,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6544,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6545,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6546,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6547,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6548,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6549,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6550,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6551,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6552,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6553,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6554,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6555,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6556,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6557,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6558,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6559,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6560,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6561,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6562,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6563,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6564,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6565,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6566,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6567,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6568,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6569,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6570,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6571,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6572,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6573,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6574,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6575,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6576,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6577,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6578,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6579,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6580,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6581,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6582,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6583,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6584,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6585,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6586,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6587,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6588,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6589,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6590,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6591,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6592,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6593,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6594,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6595,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6596,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6597,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6598,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6599,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6600,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6601,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6602,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6603,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6604,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6605,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6606,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6607,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6608,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6609,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6610,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6611,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6612,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6613,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6614,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6615,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6616,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6617,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6618,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6619,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6620,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6621,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6622,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6623,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6624,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6625,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6626,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6627,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6628,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6629,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6630,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6631,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6632,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6633,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6634,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6635,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6636,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6637,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6638,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6639,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6640,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6641,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6642,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6643,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6644,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6645,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6646,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6647,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6648,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6649,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6650,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
