,company_name,company_rating,industry,size,type,years_old,location
300,Sterlite Technologies,3.8,Hardware & Networking,1k-5k Employees,Public,36,Jaipur
301,PwC,3.6,Management Consulting,10k-50k Employees,Conglomerate,144,Jaipur
302,TerraCIS Technologies,3.8,IT Services & Consulting,1k-5k Employees,Public,31,Jaipur
303,JLL,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,25,Jaipur
304,Sodexo,4.1,Facility Management Services,10k-50k Employees,Forbes Global 2000,16,Jaipur
305,Spinny,3.9,Internet,1k-5k Employees,Indian Unicorn,9,Jaipur
306,QUICK HEAL TECHNOLOGIES,3.9,Software Product,1k-5k Employees,Public,29,Jaipur
307,ZTE Corporation,4.0,Telecom,201-500 Employees,Forbes Global 2000,21,Jaipur
308,Minimalist,2.7,Internet,51-200 Employees,Startup,4,Jaipur
309,Central Institute of Plastics Engineering & Technology,3.9,Education & Training,51-200 Employees,Public,56,Jaipur
310,Videocon d2h,3.9,Internet,501-1k Employees,Public,15,Jaipur
311,Utkarsh Small Finance Bank,3.9,Banking,10k-50k Employees,Public,15,Jaipur
312,CRYSTAL CROP PROTECTION,3.9,Agro Chemicals,1k-5k Employees,Public,44,Jaipur
313,Carlsberg,4.3,Beverage,1k-5k Employees,Forbes Global 2000,177,Jaipur
314,VIP Industries,4.0,Retail,1k-5k Employees,Public,53,Jaipur
315,Diageo,4.0,Beverage,1k-5k Employees,Public,27,Jaipur
316,Hyundai Motor India Limited,4.4,Automobile,10k-50k Employees,Fortune India 500,57,Jaipur
317,ShopKirana,3.8,Software Product,501-1k Employees,Startup,10,Jaipur
318,Cult.fit,3.8,Fitness & Wellness,1k-5k Employees,Indian Unicorn,8,Jaipur
319,Ugro Capital,3.8,NBFC,1k-5k Employees,Public,31,Jaipur
320,GTL Infrastructure,4.6,Hardware & Networking,1k-5k Employees,Public,20,Jaipur
321,HFCL,4.2,Hardware & Networking,1k-5k Employees,Public,37,Jaipur
322,Johnson & Johnson,4.2,Pharma,1k-5k Employees,Forbes Global 2000,67,Jaipur
323,Standard Chartered,3.9,Banking,10k-50k Employees,Fortune India 500,171,Jaipur
324,3i Infotech,3.6,IT Services & Consulting,1k-5k Employees,Public,31,Jaipur
325,Dr. Reddy's,4.2,Pharma,10k-50k Employees,Public,40,Jaipur
326,Bank of India,4.0,Banking,50k-1 Lakh Employees,Fortune India 500,118,Jaipur
327,Dr Lal PathLabs,4.2,Healthcare,1k-5k Employees,Public,75,Jaipur
328,Devyani International,3.9,Hospitality,10k-50k Employees,Public,33,Jaipur
329,Greenpanel Industries,4.1,Furniture & Furnishing,1k-5k Employees,Public,7,Jaipur
330,Centre For Electronic Governance,4.4,Government,51-200 Employees (Global),Public,18,Jaipur
331,Fabriclore,4.4,Internet,11-50 Employees,Startup,8,Jaipur
332,Ipca Laboratories,4.0,Pharma,10k-50k Employees,Public,75,Jaipur
333,Orient Electric,4.0,Consumer Electronics & Appliances,501-1k Employees,Public,70,Jaipur
334,PolicyBazaar,3.4,Internet,10k-50k Employees,Public,16,Jaipur
335,Ipca Laboratories,4.0,Pharma,10k-50k Employees,Public,75,Jaipur
336,Godfrey Phillips India,4.1,FMCG,501-1k Employees,Public,91,Jaipur
337,Canara Bank,3.5,Banking,50k-1 Lakh Employees,Public,118,Jaipur
338,Microland,3.6,IT Services & Consulting,1k-5k Employees,Public,35,Jaipur
339,Akzo Nobel India,4.2,Chemicals,1k-5k Employees,Public,85,Jaipur
340,Shakti Pumps,3.9,Industrial Machinery,501-1k Employees,Public,42,Jaipur
341,Marico,4.1,FMCG,1k-5k Employees,Public,36,Jaipur
342,Voltas,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,70,Jaipur
343,Tata Consumer Products,3.9,FMCG,1k-5k Employees,Public,62,Jaipur
344,UPL,4.2,Agro Chemicals,5k-10k Employees,Public,55,Jaipur
345,Somany Ceramics,4.3,Building Material,1k-5k Employees,Public,56,Jaipur
346,Agrostar,4.0,Internet,1k-5k Employees,Startup,11,Jaipur
347,Medlife,3.7,Internet,1k-5k Employees,Startup,10,Jaipur
348,Orient Electric,4.0,Consumer Electronics & Appliances,501-1k Employees,Public,70,Jaipur
349,PolicyBazaar,3.4,Internet,10k-50k Employees,Public,16,Jaipur
350,Greenply,4.0,Furniture & Furnishing,1k-5k Employees,Public,40,Jaipur
351,Tata Group,4.3,IT Services & Consulting,1 Lakh+ Employees,Conglomerate,156,Jaipur
352,THE LEELA PALACES HOTELS & RESORTS,4.0,Hospitality,1k-5k Employees,Conglomerate,41,Jaipur
353,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Jaipur
354,Schwing Stetter,4.1,Industrial Machinery,1k-5k Employees,Fortune India 500,26,Jaipur
355,Bharti Infratel,4.3,Telecom,1k-5k Employees,Public,18,Jaipur
356,PVR Cinemas,4.1,Media & Entertainment,1k-5k Employees,Public,27,Jaipur
357,S Chand Group,4.1,Education & Training,1k-5k Employees,Public,85,Jaipur
358,Kalindee Rail Nirman (E),4.1,Telecom,1k-5k Employees,Public,40,Jaipur
359,Sodhani Biotech,3.9,Biotechnology,11-50 Employees,Startup,10,Jaipur
360,Medtronic,4.1,Medical Equipment,1k-5k Employees,Forbes Global 2000,45,Jaipur
361,Haier Appliances India,4.1,Consumer Electronics & Appliances,1k-5k Employees,Conglomerate,20,Jaipur
362,Jain Irrigation Systems,4.0,Agriculture,5k-10k Employees,Public,61,Jaipur
363,Emami,4.1,Beauty & Personal Care,1k-5k Employees,Public,50,Jaipur
364,Vertiv,4.0,IT Services & Consulting,51-200 Employees (Global),Startup,8,Jaipur
365,Apollo Munich Health Insurance,3.9,Financial Services,1k-5k Employees,Public,17,Jaipur
366,Ola Electric Mobility,3.3,Automobile,5k-10k Employees,Indian Unicorn,7,Jaipur
367,Aditya Birla Housing Finance,4.0,Financial Services,1k-5k Employees,Public,15,Jaipur
368,Paytm Payments Bank,4.0,FinTech,1k-5k Employees,Public,8,Jaipur
369,DHL Express,4.1,Logistics,1k-5k Employees,Conglomerate,45,Jaipur
370,Mangalam Cement,4.2,Building Material,1k-5k Employees,Public,48,Jaipur
371,Cera Sanitaryware,4.3,Building Material,1k-5k Employees,Public,44,Jaipur
372,DeHaat,3.7,Agriculture,1k-5k Employees,Startup,5,Jaipur
373,Porter,4.2,Internet,1k-5k Employees,Startup,10,Jaipur
374,Apollo Munich Health Insurance,3.9,Financial Services,1k-5k Employees,Public,17,Jaipur
375,Aditya Birla Housing Finance,4.0,Financial Services,1k-5k Employees,Public,15,Jaipur
376,Ola Electric Mobility,3.3,Automobile,5k-10k Employees,Indian Unicorn,7,Jaipur
377,Paytm Payments Bank,4.0,FinTech,1k-5k Employees,Public,8,Jaipur
378,Vertiv,4.0,IT Services & Consulting,51-200 Employees (Global),Startup,8,Jaipur
379,Emami,4.1,Beauty & Personal Care,1k-5k Employees,Public,50,Jaipur
380,DHL Express,4.1,Logistics,1k-5k Employees,Conglomerate,45,Jaipur
381,Meesho,3.7,Internet,5k-10k Employees,Indian Unicorn,9,Jaipur
382,United Breweries,3.9,Beverage,1k-5k Employees,Public,167,Jaipur
383,Hitachi,4.1,Industrial Machinery,10k-50k Employees,Forbes Global 2000,114,Jaipur
384,Physicswallah,3.8,EdTech,10k-50k Employees,Indian Unicorn,5,Jaipur
385,JK Tyres,3.8,Auto Components,1k-5k Employees,Fortune India 500,73,Jaipur
386,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Jaipur
387,Future Lifestyle Fashion,4.2,Retail,1k-5k Employees,Public,12,Jaipur
388,GVK Group,3.9,Engineering & Construction,50k-1 Lakh Employees,Public,32,Jaipur
389,Tijaria Polypipes,4.5,Building Material,51-200 Employees,Public,18,Jaipur
390,MAS Financial Services,3.7,Financial Services,1k-5k Employees,Public,29,Jaipur
391,Future Lifestyle Fashion,4.2,Retail,1k-5k Employees,Public,12,Jaipur
392,Reliance Smart,4.2,Retail,5k-10k Employees,Public,18,Jaipur
393,Ion Exchange India,3.9,Waste Management,1k-5k Employees,Public,60,Jaipur
394,Bacardi,3.9,Beverage,201-500 Employees,Conglomerate,162,Jaipur
395,Britannia,4.1,FMCG,1k-5k Employees,Public,132,Jaipur
396,Nilkamal,3.9,Furniture & Furnishing,1k-5k Employees,Public,43,Jaipur
397,Kirloskar Oil Engines,4.2,Industrial Machinery,1k-5k Employees,Public,78,Jaipur
398,Muthoot Group,3.6,Financial Services,10k-50k Employees,Public,137,Jaipur
399,Reliance Smart,4.2,Retail,5k-10k Employees,Public,18,Jaipur
400,FDC,4.1,Pharma,5k-10k Employees,Public,84,Jaipur
401,Coca-Cola Company,4.3,Beverage,5k-10k Employees,Forbes Global 2000,138,Jaipur
402,Coforge,3.5,IT Services & Consulting,10k-50k Employees,Public,20,Jaipur
403,Nowfloats Technologies,3.3,Software Product,201-500 Employees,Startup,12,Jaipur
404,Go First,3.7,Aviation,1k-5k Employees,Public,19,Jaipur
405,Coca-Cola Company,4.3,Beverage,5k-10k Employees,Forbes Global 2000,138,Jaipur
406,FDC,4.1,Pharma,5k-10k Employees,Public,84,Jaipur
407,Satin Creditcare Network,4.1,NBFC,5k-10k Employees,Public,34,Jaipur
408,LUX Industries,3.7,Fashion & Textile,1k-5k Employees,Public,67,Jaipur
409,LIC Housing Finance,4.0,NBFC,1k-5k Employees,Public,35,Jaipur
